Index,Regime,Window,Confidence_Level,Model_Type,Analysis_Type,Violation_Rate,Expected_Rate,Violations_Count,Total_Observations,Kupiec_LR,Kupiec_p_value,Christoffersen_LR,Christoffersen_p_value,Mean_VaR,Std_VaR
SPX,0,5,90%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,9.230769230769232,10.0,6,65,0.043748888730778646,0.8343215025442068,,1.0,0.0058359574675801275,0.0004551861696660149
SPX,0,5,90%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,7.6923076923076925,10.0,5,65,0.41449431343987264,0.5196971387207975,,1.0,0.007645479574434611,0.000959159057194411
SPX,0,5,95%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,6.153846153846154,5.0,4,65,0.17026133538337174,0.6798796550491693,,1.0,0.0089522277804525,0.0008283037685437045
SPX,0,5,95%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,1.5384615384615385,5.0,1,65,2.2236958123196375,0.13590737683755438,,1.0,0.01172518971338881,0.0015544950967462
SPX,0,5,99%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,1.5384615384615385,1.0,1,65,0.16347294482954755,0.685978981908328,,1.0,0.014411734895060433,0.0011610070990105141
SPX,0,5,99%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,0.0,1.0,0,65,,1.0,,1.0,0.018871866357949598,0.0023543231006069782
SPX,0,11,90%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,8.47457627118644,10.0,5,59,0.16002439339343155,0.6891340593761788,,1.0,0.005563229267919743,0.0004655419882321838
SPX,0,11,90%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,1.694915254237288,10.0,1,59,6.688960844805693,0.009701173675825903,,1.0,0.007610227066860335,0.000833922169812636
SPX,0,11,95%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,5.084745762711865,5.0,3,59,0.0008873262000888005,0.9762361123190212,,1.0,0.008525209887595654,0.0008316274712336622
SPX,0,11,95%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,1.694915254237288,5.0,1,59,1.8034575385736005,0.17929505673956936,,1.0,0.011659436611552474,0.0013888052020897266
SPX,0,11,99%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,1.694915254237288,1.0,1,59,0.23815017349210232,0.6255453607894887,,1.0,0.013771140032059518,0.001108703478943393
SPX,0,11,99%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,0.0,1.0,0,59,,1.0,,1.0,0.018846894353629573,0.0021002088275778484
SPX,0,22,90%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,4.166666666666666,10.0,2,48,2.2758079645751965,0.13140662738333675,,1.0,0.005692495582811641,0.00043194845223057566
SPX,0,22,90%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,4.166666666666666,10.0,2,48,2.2758079645751965,0.13140662738333675,,1.0,0.0076393415803420045,0.0010038071358029492
SPX,0,22,95%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,2.083333333333333,5.0,1,48,1.0916117331257111,0.29611437666293305,,1.0,0.008747060078279604,0.000547776535315395
SPX,0,22,95%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,2.083333333333333,5.0,1,48,1.0916117331257111,0.29611437666293305,,1.0,0.011765967478979558,0.0016561135620664447
SPX,0,22,99%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,2.083333333333333,1.0,1,48,0.4336494557932915,0.510203627793065,,1.0,0.014090796267252473,0.0011655418963822353
SPX,0,22,99%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,0.0,1.0,0,48,,1.0,,1.0,0.018875357119752075,0.002300360849274764
NDX,0,5,90%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,10.76923076923077,10.0,7,65,0.041797341950681854,0.8380065629147362,,1.0,0.008184328429716139,0.0013518093586690131
NDX,0,5,90%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,6.153846153846154,10.0,4,65,1.221284885877444,0.26910863997975476,,1.0,0.012247995108511026,0.0016020321770642398
NDX,0,5,95%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,9.230769230769232,5.0,6,65,1.9815829455575944,0.15922374603873568,,1.0,0.01054762982593504,0.0019076438424725608
NDX,0,5,95%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,6.153846153846154,5.0,4,65,0.17026133538337174,0.6798796550491693,,1.0,0.015732016073087853,0.0019620688458007814
NDX,0,5,99%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,6.153846153846154,1.0,4,65,8.014123693702178,0.004641392753211626,,1.0,0.016991961571173032,0.0029495468438657762
NDX,0,5,99%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,0.0,1.0,0,65,,1.0,,1.0,0.025406790868551615,0.003454516457146047
NDX,0,11,90%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,8.47457627118644,10.0,5,59,0.16002439339343155,0.6891340593761788,,1.0,0.007862577727940216,0.0015965234201124204
NDX,0,11,90%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,6.779661016949152,10.0,4,59,0.7579243499692785,0.3839788735698352,,1.0,0.011908178597172909,0.001347005401520837
NDX,0,11,95%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,8.47457627118644,5.0,5,59,1.2522363018031122,0.2631257852195219,,1.0,0.010153475519904899,0.0021547910435331676
NDX,0,11,95%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,5.084745762711865,5.0,3,59,0.0008873262000888005,0.9762361123190212,,1.0,0.01534787851604054,0.001741715324045082
NDX,0,11,99%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,6.779661016949152,1.0,4,59,8.694485315445917,0.0031917422978933185,,1.0,0.01634407904036282,0.0033568224202666364
NDX,0,11,99%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,1.694915254237288,1.0,1,59,0.23815017349210232,0.6255453607894887,,1.0,0.02473640879408428,0.002804687775128199
NDX,0,22,90%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,4.166666666666666,10.0,2,48,2.2758079645751965,0.13140662738333675,,1.0,0.008047007279785336,0.0015591747827496903
NDX,0,22,90%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,4.166666666666666,10.0,2,48,2.2758079645751965,0.13140662738333675,,1.0,0.012185636083189086,0.0014105625835612282
NDX,0,22,95%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,4.166666666666666,5.0,2,48,0.07421232994961313,0.7852995568992581,,1.0,0.01039567154080278,0.0018727574382434887
NDX,0,22,95%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,4.166666666666666,5.0,2,48,0.07421232994961313,0.7852995568992581,,1.0,0.015801316724071295,0.001986931054709388
NDX,0,22,99%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,4.166666666666666,1.0,2,48,2.717611794553491,0.09924640776905291,,1.0,0.016794483815741935,0.003172402427079457
NDX,0,22,99%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,0.0,1.0,0,48,,1.0,,1.0,0.02544921796774573,0.0028932184880445144
RTY,0,5,90%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,13.846153846153847,10.0,9,65,0.9659960955252096,0.3256807751736722,0.01899167400944446,0.8903903575096789,0.00801150433030452,0.0005114220553739604
RTY,0,5,90%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,4.615384615384616,10.0,3,65,2.5662068907019098,0.1091692144393227,,1.0,0.013564358231608602,0.0025838367771468087
RTY,0,5,95%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,6.153846153846154,5.0,4,65,0.17026133538337174,0.6798796550491693,,1.0,0.012158361605058128,0.0008622010821259723
RTY,0,5,95%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,1.5384615384615385,5.0,1,65,2.2236958123196375,0.13590737683755438,,1.0,0.020619099521535508,0.00418728511742899
RTY,0,5,99%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,1.5384615384615385,1.0,1,65,0.16347294482954755,0.685978981908328,,1.0,0.019069354528846557,0.0011251701860613811
RTY,0,5,99%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,0.0,1.0,0,65,,1.0,,1.0,0.0322888880114964,0.00609829918545223
RTY,0,11,90%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,13.559322033898304,10.0,8,59,0.7559949088867182,0.384584819234699,0.0016108913550807458,0.9679847719864142,0.00785241085893233,0.0005559896071240894
RTY,0,11,90%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,5.084745762711865,10.0,3,59,1.8975330251112963,0.1683547121260044,,1.0,0.013615566553211172,0.002701527924559594
RTY,0,11,95%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,5.084745762711865,5.0,3,59,0.0008873262000888005,0.9762361123190212,,1.0,0.011930503265103849,0.000899375558101138
RTY,0,11,95%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,1.694915254237288,5.0,1,59,1.8034575385736005,0.17929505673956936,,1.0,0.020741210553181837,0.004414840391100405
RTY,0,11,99%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,1.694915254237288,1.0,1,59,0.23815017349210232,0.6255453607894887,,1.0,0.01871886069552744,0.0012931678270933801
RTY,0,11,99%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,0.0,1.0,0,59,,1.0,,1.0,0.032422161707598006,0.006261981379523397
RTY,0,22,90%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,12.5,10.0,6,48,0.31136895056802594,0.5768413550479501,0.23388394908440668,0.6286587744279546,0.008014800946976456,0.00046483163136939586
RTY,0,22,90%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,8.333333333333332,10.0,4,48,0.1561517484496484,0.6927245093470253,1.6371201293260529,0.20072105621041414,0.014184734355491066,0.0027956170495397883
RTY,0,22,95%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,4.166666666666666,5.0,2,48,0.07421232994961313,0.7852995568992581,,1.0,0.012137955880278386,0.0005101869795778486
RTY,0,22,95%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,2.083333333333333,5.0,1,48,1.0916117331257111,0.29611437666293305,,1.0,0.02156683201688935,0.004494614705089064
RTY,0,22,99%,REGIME_SWITCHING_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,2.083333333333333,1.0,1,48,0.4336494557932915,0.510203627793065,,1.0,0.019190255354889583,0.0014157907040906344
RTY,0,22,99%,BASELINE1_REGIME_SPECIFIC_FHS,Regime-Specific Historical Distribution,0.0,1.0,0,48,,1.0,,1.0,0.033822071581939915,0.006156497470362095
